date,close,volume,open,high,low,,,,,,,,,,,,,,,,,,,
11/26/2007,24.6488,326084458,24.7986,25.3243,24.6214,,,,,,,,,,,,,,,,,,,
11/27/2007,24.9728,328890829,25.0314,25.1128,24.2871,,,,,,,,,,,,,,,,,,,
11/28/2007,25.7457,286283776,25.26,25.8,25.05,,,,,,,,,,,,,,,,,,,
11/29/2007,26.3271,261524068,25.6328,26.4528,25.5928,,,,,,,,,,,,,,,,,,,
11/30/2007,26.0314,296647769,26.7628,26.8143,25.6714,,,,,,,,,,,,,,,,,,,
12/3/2007,25.5514,240090272,25.98,26.3057,25.3857,,,,,,,,,,,,,,,,,,,
12/4/2007,25.6871,193390878,25.3071,25.8428,25.2843,,,,,,,,,,,,,,,,,,,
12/5/2007,26.5,222597197,26.1271,26.5714,26.0586,,,,,,,,,,,,,,,,,,,
12/6/2007,27.1361,224851127,26.5986,27.1571,26.5886,,,,,,,,,,,,,,,,,,,
12/7/2007,27.7571,266059930,27.22,27.8557,26.8628,,,,,,,,,,,,,,,,,,,
12/10/2007,27.7443,180317464,27.6557,27.9514,27.5271,,,,,,,,,,,,,,,,,,,
12/11/2007,26.9343,276751243,27.8214,28.1186,26.77,,,,,,,,,,,,,,,,,,,
12/12/2007,27.2657,305773672,27.6343,27.7828,26.5371,,,,,,,,,,,,,,,,,,,
12/13/2007,27.4043,216221385,27.17,27.4457,26.8314,,,,,,,,,,,,,,,,,,,
12/14/2007,27.1986,168539331,27.1957,27.6,27.0771,,,,,,,,,,,,,,,,,,,
12/17/2007,26.3428,255689427,27.2457,27.5214,26.14,,,,,,,,,,,,,,,,,,,
12/18/2007,26.14,305258822,26.6457,26.7614,25.5143,,,,,,,,,,,,,,,,,,,
12/19/2007,26.16,206127942,26.14,26.377,25.8428,,,,,,,,,,,,,,,,,,,
12/20/2007,26.7443,192533868,26.49,26.8328,26.19,,,,,,,,,,,,,,,,,,,
12/21/2007,27.7014,248414605,27.16,27.7018,27.1271,,,,,,,,,,,,,,,,,,,
12/24/2007,28.4,120045206,27.8614,28.4757,27.8271,,,,,,,,,,,,,,,,,,,
12/26/2007,28.4214,175634393,28.43,28.7086,28.1171,,,,,,,,,,,,,,,,,,,
12/27/2007,28.3671,198648020,28.4214,28.9943,28.2571,,,,,,,,,,,,,,,,,,,
12/28/2007,28.5471,173164022,28.6557,28.7943,28.1257,,,,,,,,,,,,,,,,,,,
12/31/2007,28.2971,134248000,28.5,28.6428,28.25,,,,,,,,,,,,,,,,,,,
1/2/2008,27.8343,269568541,28.4671,28.6086,27.5071,,,,,,,,,,,,,,,,,,,
1/3/2008,27.8471,210336553,27.9157,28.1986,27.5271,,,,,,,,,,,,,,,,,,,
1/4/2008,25.7214,363556519,27.35,27.5714,25.5557,,,,,,,,,,,,,,,,,,,
1/7/2008,25.3771,517719245,25.8928,26.2286,24.3186,,,,,,,,,,,,,,,,,,,
1/8/2008,24.4643,379755714,25.7343,26.0657,24.4,,,,,,,,,,,,,,,,,,,
1/9/2008,25.6286,453136596,24.4714,25.6428,24.0428,,,,,,,,,,,,,,,,,,,
1/10/2008,25.4314,370297661,25.3686,25.8571,25.0586,,,,,,,,,,,,,,,,,,,
1/11/2008,24.67,307449332,25.1428,25.4071,24.2857,,,,,,,,,,,,,,,,,,,
1/14/2008,25.54,274486392,25.36,25.6314,25.0243,,,,,,,,,,,,,,,,,,,
1/15/2008,24.1486,584446905,25.3886,25.6028,23.5229,,,,,,,,,,,,,,,,,,,
1/16/2008,22.8057,553027676,23.6043,24.1443,22.3857,,,,,,,,,,,,,,,,,,,
1/17/2008,22.9843,438729542,23.0729,23.6229,22.6314,,,,,,,,,,,,,,,,,,,
1/18/2008,23.0514,429120079,23.1014,23.6786,22.8014,,,,,,,,,,,,,,,,,,,
1/22/2008,22.2343,594108588,21.1514,22.8543,20.8571,,,,,,,,,,,,,,,,,,,
1/23/2008,19.8674,841930153,19.4557,20,18.02,,,,,,,,,,,,,,,,,,,
1/24/2008,19.3714,500791350,19.9986,20.1,18.8586,,,,,,,,,,,,,,,,,,,
1/25/2008,18.5729,387977076,19.8557,19.87,18.5157,,,,,,,,,,,,,,,,,,,
1/28/2008,18.5729,368311410,18.3086,19.0286,18.0643,,,,,,,,,,,,,,,,,,,
1/29/2008,18.7914,272313452,18.7357,18.97,18.4357,,,,,,,,,,,,,,,,,,,
