id,Date,Noise,Original,Prediction,Cross Validation,year
1,11/26/2007,-0.235533333,24.6488,24.6488,1,2007
2,11/27/2007,-0.353366667,24.9728,24.9728,1,0
3,11/28/2007,-0.156166667,25.7457,25.7457,1,0
4,11/29/2007,-0.046666667,26.3271,26.3271,1,0
5,11/30/2007,0.177133333,26.0314,26.0314,1,0
6,12/3/2007,0.0362,25.5514,25.5514,1,0
7,12/4/2007,-0.417633333,25.6871,25.6871,1,0
8,12/5/2007,-0.2449,26.5,26.5,1,0
9,12/6/2007,-0.234966667,27.1361,27.1361,1,0
10,12/7/2007,0.038066667,27.7571,27.7571,1,0
11,12/10/2007,0.2443,27.7443,27.7443,1,0
12,12/11/2007,-0.3438,26.9343,26.9343,1,0
13,12/12/2007,-0.0143,27.2657,27.2657,1,0
14,12/13/2007,0.1381,27.4043,27.4043,1,0
15,12/14/2007,0.269566667,27.1986,27.1986,1,0
16,12/17/2007,-0.033366667,26.3428,26.3428,1,0
17,12/18/2007,-0.006666667,26.14,26.14,1,0
18,12/19/2007,-0.304766667,26.16,26.16,1,0
19,12/20/2007,-0.4576,26.7443,26.7443,1,0
20,12/21/2007,-0.2862,27.7014,27.7014,1,0
21,12/24/2007,-0.017133333,28.4,28.4,1,0
22,12/26/2007,0.0181,28.4214,28.4214,1,0
23,12/27/2007,-0.1562,28.3671,28.3671,1,0
24,12/28/2007,0.099033333,28.5471,28.5471,1,0
25,12/31/2007,0.0976,28.2971,28.2971,1,0
26,1/2/2008,-0.0314,27.8343,27.8343,1,2008
27,1/3/2008,0.874266667,27.8471,32.8471,2,0
28,1/4/2008,0.057633333,25.7214,25.7214,1,0
29,1/7/2008,0.1852,25.3771,25.3771,1,0
30,1/8/2008,-0.390466667,24.4643,24.4643,1,0
31,1/9/2008,0.1524,25.6286,25.6286,1,0
32,1/10/2008,0.35,25.4314,25.4314,1,0
33,1/11/2008,-0.52,24.67,19.67,0,0
34,1/14/2008,0.514266667,25.54,30.54,2,0
35,1/15/2008,0.629066667,24.1486,29.1486,2,0
36,1/16/2008,-0.1486,22.8057,22.8057,1,0
37,1/17/2008,-0.0614,22.9843,22.9843,1,0
38,1/18/2008,0.9057,23.0514,28.0514,2,0
39,1/22/2008,1.715166667,22.2343,27.2343,2,0
40,1/23/2008,0.1216,19.8674,19.8674,1,0
41,1/24/2008,0.104733333,19.3714,19.3714,1,0
42,1/25/2008,0.0881,18.5729,18.5729,1,0
43,1/28/2008,-0.1271,18.5729,18.5729,1,0
44,1/29/2008,-0.0224,18.7914,18.7914,1,0
45,1/30/2008,-0.0214,18.8829,18.8829,1,0
46,1/31/2008,0.034733333,19.3371,19.3371,1,0
47,2/1/2008,0.078066667,19.1071,19.1071,1,0
48,2/4/2008,0.1671,18.8071,18.8071,1,0
49,2/5/2008,0.280466667,18.48,18.48,1,0
50,2/6/2008,0.132866667,17.4286,17.4286,1,0
51,2/7/2008,-0.2419,17.32,17.32,1,0
52,2/8/2008,-0.309533333,17.9257,17.9257,1,0
53,2/11/2008,0.1591,18.4929,18.4929,1,0
54,2/12/2008,-0.302866667,17.8371,17.8371,1,0
55,2/13/2008,0.092366667,18.4857,18.4857,1,0
56,2/14/2008,0.191433333,18.2086,18.2086,1,0
57,2/15/2008,0.0519,17.8043,17.8043,1,0
58,2/19/2008,-0.079033333,17.4543,17.4543,1,0
59,2/20/2008,0.0024,17.6886,17.6886,1,0
60,2/21/2008,0.054333333,17.3629,17.3629,1,0
61,2/22/2008,0.0281,17.0657,17.0657,1,0
62,2/25/2008,0.1281,17.1057,17.1057,1,0
63,2/26/2008,-0.137633333,17.0214,17.0214,1,0
64,2/27/2008,-0.532866667,17.5657,12.5657,0,0
65,2/28/2008,0.2624,18.5586,18.5586,1,0
66,2/29/2008,0.1843,17.86,17.86,1,0
67,3/3/2008,-0.15,17.39,17.39,1,0
68,3/4/2008,0.055733333,17.8029,17.8029,1,0
69,3/5/2008,0.1636,17.7843,17.7843,1,0
70,3/6/2008,-0.0381,17.2757,17.2757,1,0
71,3/7/2008,0.134766667,17.4643,17.4643,1,0
72,3/10/2008,-0.574766667,17.0986,12.0986,0,0
73,3/11/2008,0.077633333,18.1929,18.1929,1,0
74,3/12/2008,0.000966667,18.0043,18.0043,1,0
75,3/13/2008,-0.029066667,18.2771,18.2771,1,0
76,3/14/2008,0.1876,18.0871,18.0871,1,0
77,3/17/2008,-0.406666667,18.1043,18.1043,1,0
78,3/18/2008,0.135733333,18.9743,18.9743,1,0
79,3/19/2008,-0.240466667,18.5243,18.5243,1,0
80,3/20/2008,-0.333333333,19.0386,19.0386,1,0
81,3/24/2008,-0.0895,19.9329,19.9329,1,0
82,3/25/2008,-0.189066667,20.14,20.14,1,0
83,3/26/2008,0.234333333,20.7229,20.7229,1,0
84,3/27/2008,-0.205233333,20.0357,20.0357,1,0
85,3/28/2008,-0.0357,20.43,20.43,1,0
86,3/31/2008,-0.420466667,20.5,20.5,1,0
87,4/1/2008,0.132833333,21.3614,21.3614,1,0
88,4/2/2008,-0.175733333,21.07,21.07,1,0
89,4/3/2008,-0.0976,21.6586,21.6586,1,0
90,4/4/2008,-0.279033333,21.8686,21.8686,1,0
91,4/7/2008,0.256666667,22.27,22.27,1,0
92,4/8/2008,0.0443,21.8343,21.8343,1,0
93,4/9/2008,-0.133333333,21.6343,21.6343,1,0
94,4/10/2008,0.440033333,22.0786,22.0786,1,0
95,4/11/2008,-0.012833333,21.02,21.02,1,0
96,4/14/2008,-0.105733333,21.1114,21.1114,1,0
97,4/15/2008,-0.4124,21.1971,21.1971,1,0
98,4/16/2008,-0.060033333,21.9571,21.9571,1,0
99,4/17/2008,-0.532366667,22.07,17.07,0,0
100,4/18/2008,-0.394766667,23.0057,23.0057,1,0
101,4/21/2008,0.4152,24.0228,24.0228,1,0
102,4/22/2008,-0.311433333,22.8857,22.8857,1,0
103,4/23/2008,-0.404766667,23.27,23.27,1,0
104,4/24/2008,-0.1214,24.1343,24.1343,1,0
105,4/25/2008,-0.1205,24.2471,24.2471,1,0
106,4/28/2008,-0.08,24.6057,24.6057,1,0
107,4/29/2008,-0.001933333,25.0071,25.0071,1,0
108,4/30/2008,-0.3362,24.85,24.85,1,0
109,5/1/2008,-0.0538,25.7143,25.7143,1,0
110,5/2/2008,-0.227133333,25.8486,25.8486,1,0
111,5/5/2008,-0.088566667,26.39,26.39,1,0
112,5/6/2008,0.222833333,26.6657,26.6657,1,0
113,5/7/2008,-0.173766667,26.0843,26.0843,1,0
114,5/8/2008,0.167133333,26.4371,26.4371,1,0
115,5/9/2008,-0.308133333,26.2071,26.2071,1,0
116,5/12/2008,-0.107133333,26.88,26.88,1,0
117,5/13/2008,0.115666667,27.1371,27.1371,1,0
